22:50:45.122 -> BEGIN,97548,18
22:50:47.178 -> 54,0.50500,0.23975,0.71460,68.96973,-7.01904,45.95947
22:50:47.225 -> 71,0.52344,0.26697,0.85449,63.41553,-11.35254,46.93604
22:50:47.225 -> 88,0.53613,0.21021,0.93494,57.18994,-25.32959,46.32568
22:50:47.225 -> 105,0.50903,0.14844,0.86060,54.07715,-30.82275,41.56494
22:50:47.270 -> 122,0.56323,0.13806,0.83130,39.73389,-23.13232,34.48486
22:50:47.270 -> 139,0.60999,0.19739,0.89722,27.58789,-16.05225,35.88867
22:50:47.270 -> 156,0.55945,0.16736,0.84863,28.38135,-8.36182,39.42871
22:50:47.317 -> 173,0.56885,0.16248,0.87610,29.11377,-0.67139,34.91211
22:50:47.317 -> 190,0.58630,0.17004,0.88232,32.89795,-0.24414,29.17480
22:50:47.364 -> 207,0.56702,0.15784,0.87659,20.38574,0.79346,28.25928
22:50:47.364 -> 224,0.59607,0.17065,0.88403,10.80322,-2.25830,26.85547
22:50:47.364 -> 241,0.62317,0.18433,0.74902,23.74268,-4.76074,24.41406
22:50:47.410 -> 258,0.67834,0.28198,0.74353,27.95410,8.85010,34.54590
22:50:47.410 -> 275,0.67725,0.28174,0.84143,18.43262,13.24463,46.56982
22:50:47.410 -> 292,0.64758,0.30554,0.90637,21.60645,4.63867,47.97363
22:50:47.457 -> 309,0.53479,0.27844,0.82898,20.26367,-11.84082,42.23633
22:50:47.457 -> 326,0.46277,0.29846,0.75830,10.74219,-15.01465,29.47998
22:50:47.457 -> 343,0.37744,0.35925,0.73267,8.91113,-4.33350,12.39014
22:50:47.503 -> 360,0.32410,0.48926,0.87207,10.31494,3.60107,0.18311
22:50:47.503 -> 377,0.29773,0.66199,1.08655,8.30078,-1.58691,-4.33350
22:50:47.550 -> 394,0.25952,0.75391,1.32788,-2.68555,-8.78906,-8.42285
22:50:47.550 -> 411,0.18689,0.78479,1.26648,-23.43750,1.46484,-14.83154
