22:49:53.744 -> BEGIN,46175,8
22:49:54.254 -> 496,1.37500,-0.61584,0.60376,-4.21143,84.10645,20.75195
22:49:54.254 -> 513,1.30334,-0.65259,0.54492,-1.83105,86.85303,25.63477
22:49:54.301 -> 530,1.21008,-0.72241,0.44202,4.21143,92.59033,22.21680
22:49:54.301 -> 547,1.15100,-0.74707,0.35962,11.47461,102.11182,14.58740
22:49:54.347 -> 564,1.08423,-0.74890,0.31750,19.83643,107.72705,14.70947
22:49:54.347 -> 581,0.96484,-0.75403,0.23376,24.23096,107.05566,17.76123
22:49:54.347 -> 598,0.85132,-0.73328,0.15210,32.40967,103.33252,21.78955
22:49:54.394 -> 615,0.78503,-0.67798,0.12720,44.06738,95.33691,33.08105
22:49:54.394 -> 632,0.71240,-0.69165,0.10474,49.19434,87.28027,43.21289
22:49:54.394 -> 649,0.62976,-0.66895,0.07166,51.63574,81.97021,47.54639
22:49:54.440 -> 666,0.51953,-0.62048,0.05432,54.56543,77.75879,52.42920
22:49:54.440 -> 683,0.41443,-0.56348,-0.01636,60.42480,74.40186,57.49512
22:49:54.440 -> 700,0.29626,-0.52295,-0.06897,70.98389,70.00732,58.53271
22:49:54.487 -> 717,0.19043,-0.44629,-0.07947,75.25635,60.36377,60.91309
22:49:54.487 -> 734,0.13440,-0.41431,-0.10010,73.48633,47.18018,62.19482
22:49:54.535 -> 751,0.04590,-0.33252,-0.12231,73.36426,40.28320,61.52344
22:49:54.535 -> 768,-0.01257,-0.24658,-0.17700,81.78711,29.41895,59.08203
22:49:54.535 -> 785,-0.03894,-0.14514,-0.12378,84.83887,17.33398,57.12891
22:49:54.581 -> 802,-0.07275,-0.03308,-0.11023,81.60400,2.19727,62.37793
22:49:54.581 -> 819,-0.10498,0.03357,-0.12769,81.11572,-12.14600,65.00244
22:49:54.581 -> 836,-0.11853,0.10486,-0.15320,83.98438,-23.68164,60.18066
22:49:54.628 -> 853,-0.08618,0.15771,-0.12170,93.81104,-33.93555,48.58398
22:49:54.628 -> 870,-0.01660,0.20557,-0.02820,97.41211,-41.01563,37.71973
22:49:54.628 -> 887,0.05896,0.25671,0.02405,95.27588,-47.72949,29.78516
22:49:54.675 -> 904,0.09839,0.32019,0.07825,96.49658,-58.10547,21.85059
