22:51:28.725 -> BEGIN,141135,30
22:51:29.390 -> 683,0.74146,-0.41516,0.63416,123.16895,7.08008,60.42480
22:51:29.437 -> 700,0.68921,-0.38782,0.63452,126.15967,4.02832,63.35449
22:51:29.437 -> EXIT,42
22:51:30.524 -> BEGIN,142951,31
22:51:30.524 -> 3,1.02417,-0.23315,0.54333,-37.10938,-10.43701,-45.41016
22:51:30.571 -> 20,1.08105,-0.26697,0.50073,-42.54150,1.83105,-57.49512
22:51:30.571 -> 37,1.10205,-0.20679,0.57336,-49.98779,4.69971,-56.03027
22:51:30.571 -> 54,1.03967,-0.19836,0.60974,-57.18994,-1.64795,-44.18945
22:51:30.618 -> 72,0.97681,-0.28125,0.52771,-61.15723,-6.77490,-37.78076
22:51:30.618 -> 89,0.92200,-0.31995,0.39160,-64.02588,-4.45557,-41.13770
22:51:30.664 -> 106,0.88208,-0.27539,0.32007,-68.78662,-2.86865,-48.88916
22:51:30.664 -> 123,0.87524,-0.33643,0.26758,-67.32178,-3.17383,-62.56104
22:51:30.664 -> 140,0.89209,-0.39722,0.28284,-59.44824,-1.09863,-72.99805
22:51:30.710 -> 157,0.92920,-0.42676,0.16504,-37.47559,10.92529,-71.96045
22:51:30.710 -> 174,0.96643,-0.31323,0.27258,-23.62061,20.20264,-61.03516
22:51:30.710 -> 191,0.90112,-0.40051,0.39856,-28.25928,10.49805,-56.64063
22:51:30.758 -> 208,0.90332,-0.41968,0.33569,-26.67236,0.00000,-55.29785
22:51:30.758 -> 225,0.96924,-0.33081,0.21533,-3.23486,2.25830,-40.46631
22:51:30.758 -> 242,1.01465,-0.29724,0.32324,17.02881,-2.25830,-24.29199
22:51:30.804 -> 259,1.01892,-0.34790,0.37793,21.17920,-12.02393,-20.50781
22:51:30.804 -> 276,0.94629,-0.36462,0.34692,15.25879,-25.26855,-8.48389
22:51:30.850 -> 293,0.94409,-0.45801,0.33826,6.34766,-30.09033,-0.54932
22:51:30.850 -> 310,0.95801,-0.56531,0.16101,9.09424,-13.36670,5.55420
22:51:30.850 -> 327,0.98999,-0.66016,0.22644,11.23047,7.99561,8.11768
22:51:30.896 -> 344,1.02893,-0.69043,0.23621,5.37109,22.27783,10.80322
22:51:30.896 -> 361,1.00952,-0.69812,0.26025,7.99561,25.39063,16.29639
22:51:30.896 -> 378,0.99707,-0.71826,0.24060,10.13184,22.27783,24.65820
22:51:30.944 -> 395,0.97559,-0.78894,0.14050,17.45605,24.96338,28.07617
22:51:30.944 -> 412,0.91187,-0.84595,0.06665,31.98242,29.05273,24.90234
22:51:30.944 -> 429,0.87573,-0.78918,0.13208,37.29248,25.51270,24.65820
22:51:30.990 -> 446,0.85291,-0.80261,0.07556,47.66846,22.21680,24.90234
22:51:30.990 -> 463,0.84070,-0.80542,0.11060,57.06787,21.48438,21.36230
22:51:31.037 -> 480,0.83496,-0.74475,0.16626,69.33594,19.34814,25.02441
22:51:31.037 -> 497,0.80371,-0.69446,0.24817,80.99365,11.47461,29.29688
22:51:31.037 -> 514,0.80127,-0.68896,0.29395,87.03613,5.12695,27.70996
22:51:31.083 -> 531,0.79248,-0.59912,0.30676,93.62793,2.38037,27.40479
22:51:31.083 -> 548,0.81897,-0.55249,0.48450,100.58594,-1.77002,34.05762
22:51:31.083 -> 565,0.80322,-0.49121,0.51868,102.23389,-11.77979,40.89355
22:51:31.130 -> 582,0.77344,-0.41943,0.53247,107.97119,-14.58740,47.05811
22:51:31.130 -> 599,0.73987,-0.35327,0.59131,111.32813,-20.01953,52.12402
22:51:31.130 -> 616,0.72852,-0.32141,0.59045,115.11230,-20.69092,55.17578
22:51:31.177 -> 633,0.72632,-0.30664,0.62854,114.37988,-20.01953,54.13818
22:51:31.177 -> 650,0.71960,-0.24719,0.69238,113.09814,-19.22607,54.01611
22:51:31.225 -> 667,0.68616,-0.16479,0.68347,112.54883,-16.54053,55.35889
22:51:31.225 -> 685,0.66956,-0.11597,0.71814,111.26709,-17.51709,55.84717
22:51:31.225 -> 702,0.67053,-0.13342,0.68286,110.16846,-16.41846,50.23193
22:51:31.273 -> 719,0.68506,-0.10681,0.71594,105.46875,-12.87842,43.76221
22:51:31.273 -> EXIT,43
